Id,SalePrice
1461,116831.9495
1462,169191.8745
1463,166982.5764
1464,197855.5916
1465,193778.766
1466,167760.2672
1467,176162.9274
1468,157117.5152
1469,212346.6671
1470,109766.0431
1471,194944.5366
1472,103697.0636
1473,88606.3734
1474,150961.9944
1475,102086.7235
1476,323729.6124
1477,238464.9797
1478,296131.8134
1479,279075.5437
1480,424171.5517
1481,307920.9113
1482,216332.9368
1483,179988.8314
1484,184763.2832
1485,203678.3187
1486,211162.6072
1487,286688.3608
1488,246366.0827
1489,183411.7073
1490,232598.5094
1491,220337.7716
1492,100559.6696
1493,208257.6871
1494,288943.9839
1495,278969.3836
1496,227618.1709
1497,167247.5759
1498,168393.6806
1499,155611.8523
1500,154553.6522
1501,201525.2483
1502,151704.9505
1503,276640.187
1504,244497.3166
1505,226099.7377
1506,193776.5537
1507,249665.9105
1508,198335.9534
1509,154082.0745
1510,137215.8138
1511,140625.8978
1512,191306.4311
1513,151261.3761
1514,147979.32
1515,214132.8758
1516,166944.2409
1517,184357.8312
1518,121971.8767
1519,239153.9807
1520,120124.5824
1521,115818.6381
1522,194345.6083
1523,86897.08421
1524,103381.603
1525,97861.63591
1526,88522.19655
1527,92815.42228
1528,139797.3433
1529,134091.2257
1530,229693.4271
1531,145177.2553
1532,116061.8304
1533,169233.2585
1534,108573.4305
1535,152566.204
1536,102644.5138
1537,65488.54939
1538,181974.0846
1539,231721.1597
1540,117591.8142
1541,142444.0584
1542,130612.5806
1543,197997.9376
1544,91842.31928
1545,118440.9027
1546,134752.0603
1547,142184.8481
1548,137052.1494
1549,128312.2913
1550,132474.0501
1551,133194.3597
1552,144095.5409
1553,170545.5284
1554,110268.639
1555,164140.5278
1556,66980.51701
1557,82797.1431
1558,99071.4513
1559,90549.63291
1560,139253.4253
1561,120286.8474
1562,127503.5512
1563,112496.6751
1564,154369.9968
1565,125977.8097
1566,249859.3435
1567,69596.93638
1568,235542.8086
1569,105502.5348
1570,150541.1124
1571,118551.4164
1572,140466.4555
1573,255278.3174
1574,132413.07
1575,254665.2848
1576,258493.7551
1577,199625.7642
1578,130798.5478
1579,137513.2255
1580,193390.024
1581,149263.8556
1582,128571.9826
1583,300040.7495
1584,233218.943
1585,167495.1479
1586,43432.06771
1587,95786.81737
1588,154279.5382
1589,108776.3088
1590,133134.6975
1591,83774.18588
1592,123868.0836
1593,135800.1244
1594,130671.3158
1595,127096.2536
1596,214470.2652
1597,172509.554
1598,197912.6852
1599,214298.8949
1600,201115.4502
1601,45354.34384
1602,122294.0195
1603,56156.7624
1604,265785.5766
1605,261212.5968
1606,171277.6389
1607,162953.4043
1608,224522.6899
1609,191179.0185
1610,140665.2678
1611,147116.0461
1612,174377.829
1613,160586.5781
1614,136651.7355
1615,84293.19985
1616,57284.36394
1617,64150.11916
1618,102128.7547
1619,152591.2595
1620,186729.5037
1621,128048.9188
1622,139304.3285
1623,266341.064
1624,219208.6665
1625,117300.624
1626,179750.1959
1627,182788.5149
1628,298417.0019
1629,182490.4578
1630,312719.5294
1631,197136.6524
1632,225171.2493
1633,187649.4716
1634,192755.0273
1635,182966.3415
1636,159420.2426
1637,194546.7374
1638,216166.4515
1639,187563.4921
1640,263426.4692
1641,188875.8314
1642,248687.4328
1643,227401.7332
1644,236152.6984
1645,230639.0581
1646,169575.0789
1647,160394.9394
1648,126075.5048
1649,134433.0214
1650,110757.1086
1651,104046.0915
1652,105350.3479
1653,107749.1688
1654,144230.2043
1655,139017.176
1656,135031.5777
1657,144451.031
1658,151568.1568
1659,112715.4309
1660,155398.0212
1661,382822.8532
1662,329321.3335
1663,348052.6241
1664,429804.8889
1665,299872.6152
1666,303690.7416
1667,321815.1878
1668,325004.2911
1669,293774.2741
1670,321867.6206
1671,259595.2435
1672,370463.913
1673,284075.2074
1674,250107.9349
1675,204027.5637
1676,208370.1041
1677,212061.899
1678,420989.4587
1679,343768.1098
1680,292882.3124
1681,257751.1129
1682,299683.1781
1683,190963.6251
1684,195368.0944
1685,196251.0301
1686,191978.684
1687,190964.5814
1688,211157.3444
1689,214288.2969
1690,216277.9349
1691,204834.1753
1692,263041.9034
1693,193042.621
1694,176819.7204
1695,165104.5151
1696,276350.5727
1697,167733.3034
1698,322434.286
1699,315192.4859
1700,254487.3592
1701,276599.7166
1702,253990.0038
1703,254777.4244
1704,284955.0055
1705,251289.2577
1706,387859.056
1707,196016.9639
1708,201530.2573
1709,269165.1959
1710,234043.8735
1711,261225.7353
1712,248742.4833
1713,268291.5984
1714,219694.9041
1715,209464.045
1716,185610.8406
1717,184849.9454
1718,139046.8584
1719,229813.9649
1720,266264.536
1721,181215.9735
1722,129939.5387
1723,158248.3143
1724,219253.5329
1725,242368.2798
1726,193319.6407
1727,156826.5713
1728,196772.0611
1729,155713.7421
1730,158952.6097
1731,115455.7277
1732,120286.1657
1733,105323.5366
1734,108969.1532
1735,140589.1769
1736,102274.7278
1737,303151.452
1738,242254.4355
1739,249347.938
1740,194368.7699
1741,187492.4876
1742,180946.0204
1743,184011.4097
1744,315092.7993
1745,226239.6484
1746,229192.6648
